day,temp,wdsp,total_num_of_crimes
1,20.4,11.6,13
1,26.2,7.0,17
1,37.6,15.0,19
1,10.9,7.9,19
1,42.8,7.5,20
1,58.3,12.3,21
1,30.5,13.4,21
1,48.6,9.8,22
1,39.9,7.8,24
1,15.6,12.9,25
1,45.6,15.5,25
1,27.8,5.6,25
1,45.5,7.3,26
1,36.5,9.6,26
1,33.3,11.7,26
1,39.0,13.7,26
1,73.3,7.2,27
1,72.2,5.1,27
1,48.8,4.0,27
1,60.1,7.0,28
1,62.7,6.9,28
1,29.6,7.9,28
1,60.7,7.0,28
1,47.3,9.5,28
1,36.1,6.1,29
1,6.6,12.6,29
1,58.9,7.8,29
1,46.5,7.4,29
1,67.5,5.7,30
1,71.3,3.8,31
1,62.7,6.7,31
1,37.9,5.4,31
1,26.8,6.6,32
1,68.8,9.5,32
1,77.5,9.8,33
1,72.2,9.4,33
1,77.8,3.6,34
1,59.8,6.7,34
1,33.3,9.9,34
1,47.2,9.1,36
1,73.2,9.4,36
1,68.4,10.5,36
1,71.9,12.2,36
1,77.3,4.4,37
1,68.3,10.3,37
1,54.1,11.5,37
1,80.1,5.7,38
1,82.3,10.0,38
1,73.9,6.6,40
1,79.2,6.9,40
1,50.4,7.8,41
1,46.8,9.6,41
2,70.3,6.9,18
2,27.7,16.8,19
2,30.8,9.6,21
2,44.9,12.9,21
2,40.8,4.7,21
2,59.8,3.0,22
2,76.8,5.5,22
2,79.4,10.0,23
2,49.5,10.2,23
2,31.6,11.1,23
2,24.1,3.1,23
2,33.5,10.1,24
2,6.4,14.8,24
2,14.9,11.7,25
2,65.7,7.9,25
2,42.3,7.4,26
2,73.1,9.5,26
2,75.9,4.6,26
2,60.9,9.8,26
2,50.8,16.1,27
2,21.5,9.4,27
2,39.8,6.7,27
2,57.8,9.4,28
2,59.1,9.6,28
2,42.1,5.5,28
2,55.7,4.0,29
2,26.6,10.2,29
2,13.2,14.2,29
2,65.1,4.1,29
2,72.9,9.7,29
2,38.3,4.2,30
2,77.6,7.1,30
2,84.9,8.1,30
2,26.4,10.9,31
2,73.3,6.3,31
2,23.2,13.8,32
2,68.1,8.2,33
2,36.3,6.2,34
2,20.3,10.4,34
2,69.9,6.8,35
2,47.4,10.9,35
2,76.1,5.4,36
2,77.1,7.5,36
2,67.0,7.6,37
2,32.6,9.1,37
2,70.8,7.1,37
2,52.3,8.0,38
2,42.8,11.9,38
2,74.0,11.4,39
2,79.7,8.2,40
2,46.1,7.8,43
2,39.1,9.2,44
2,36.1,6.4,45
3,-13.5,15.8,9
3,20.6,16.7,15
3,71.7,5.0,18
3,29.5,6.7,19
3,31.6,11.2,19
3,38.5,8.4,21
3,21.3,9.8,21
3,34.5,6.3,22
3,57.9,8.5,22
3,41.6,13.8,22
3,23.8,15.0,23
3,75.5,8.7,23
3,68.4,9.3,24
3,79.3,6.3,24
3,67.4,5.5,25
3,47.1,10.7,25
3,49.5,13.8,25
3,61.7,7.5,25
3,42.5,7.7,25
3,32.4,8.8,25
3,47.0,8.9,26
3,17.3,10.1,26
3,53.9,4.9,27
3,18.1,11.8,27
3,52.9,9.1,27
3,45.8,18.3,28
3,42.5,4.2,28
3,69.6,11.8,28
3,19.2,9.3,29
3,85.0,8.9,31
3,73.8,5.3,31
3,74.0,5.5,32
3,26.3,8.6,32
3,48.8,8.1,33
3,60.0,7.1,33
3,81.6,4.3,33
3,77.8,5.9,33
3,68.3,8.6,34
3,70.8,11.8,34
3,40.9,8.4,34
3,70.3,8.5,35
3,72.6,7.1,35
3,49.2,9.0,35
3,53.7,10.8,35
3,31.4,7.7,35
3,37.6,11.4,36
3,63.9,12.8,37
3,69.5,9.0,38
3,77.3,6.0,40
3,63.6,3.1,40
3,42.8,7.8,41
3,81.6,7.9,43
4,-12.5,7.7,14
4,24.3,9.0,17
4,35.2,9.5,18
4,30.2,11.6,21
4,24.2,7.7,21
4,62.9,7.0,23
4,36.0,14.2,23
4,48.6,5.9,23
4,36.8,5.3,24
4,56.2,15.0,24
4,19.4,6.8,24
4,17.9,9.1,25
4,30.8,9.8,25
4,47.0,5.3,25
4,66.4,5.5,26
4,46.7,8.5,26
4,53.5,11.3,27
4,77.9,6.8,27
4,67.0,8.0,28
4,45.8,7.6,28
4,59.0,13.9,28
4,36.8,9.0,28
4,45.6,15.8,29
4,60.4,10.6,29
4,64.8,4.4,29
4,66.9,5.7,29
4,63.2,10.6,30
4,28.4,7.1,30
4,40.4,9.2,30
4,56.3,10.3,30
4,74.2,6.3,31
4,63.1,8.2,31
4,71.5,7.9,31
4,58.6,10.9,32
4,31.5,5.4,32
4,66.8,9.3,33
4,78.8,6.2,33
4,80.2,10.1,33
4,78.7,7.8,33
4,74.3,8.0,34
4,20.1,5.8,34
4,79.2,8.5,34
4,47.8,14.6,35
4,72.1,13.1,35
4,35.9,8.6,36
4,74.3,4.7,36
4,57.7,3.5,38
4,74.3,5.8,38
4,71.5,10.6,38
4,31.9,12.3,38
4,30.1,9.6,42
4,71.0,5.5,44
5,2.8,12.8,21
5,54.1,9.6,22
5,37.2,8.2,22
5,38.6,15.7,23
5,63.0,5.1,23
5,70.6,10.1,24
5,28.6,4.9,26
5,64.5,7.1,26
5,37.9,8.4,27
5,9.2,4.3,28
5,39.2,9.6,28
5,33.1,8.8,29
5,50.6,14.9,29
5,44.5,18.2,29
5,31.5,7.9,29
5,71.4,6.9,30
5,60.0,11.1,30
5,76.7,7.9,30
5,24.6,7.6,31
5,30.4,6.0,31
5,23.7,12.9,31
5,37.2,4.4,31
5,68.4,8.8,32
5,47.5,7.0,32
5,48.6,10.4,32
5,49.2,4.8,32
5,50.1,8.8,32
5,11.5,18.7,32
5,45.0,4.9,33
5,31.3,3.7,33
5,46.9,3.8,33
5,56.5,14.5,34
5,28.5,6.0,34
5,75.1,10.7,35
5,64.7,8.5,35
5,78.5,8.6,35
5,76.0,3.7,36
5,26.7,4.4,37
5,29.4,5.2,37
5,39.7,6.9,37
5,73.2,7.4,37
5,73.8,5.2,38
5,74.2,5.6,38
5,67.3,7.9,39
5,86.5,10.4,39
5,82.8,6.4,39
5,57.5,9.2,40
5,66.0,10.6,41
5,38.3,8.6,41
5,70.8,7.0,42
5,40.6,10.4,43
5,74.1,4.6,46
6,26.6,8.6,18
6,27.6,16.4,19
6,39.0,7.3,21
6,4.6,6.1,22
6,36.0,5.6,23
6,38.5,11.3,23
6,35.0,10.5,24
6,32.4,4.8,24
6,34.8,10.1,24
6,58.0,7.8,24
6,42.9,9.8,25
6,68.3,8.2,25
6,40.2,11.3,25
6,30.8,6.5,26
6,56.3,7.7,26
6,76.5,4.0,26
6,68.1,7.6,27
6,35.5,10.3,27
6,69.1,8.3,28
6,22.2,7.6,28
6,34.7,5.0,28
6,39.8,6.8,29
6,76.4,10.2,29
6,30.3,8.0,29
6,44.9,7.4,29
6,35.6,7.7,29
6,71.4,8.6,30
6,50.6,16.0,30
6,75.0,5.3,30
6,76.6,9.0,31
6,48.1,6.1,32
6,86.0,12.9,32
6,52.3,4.2,32
6,67.4,9.5,33
6,69.4,8.7,33
6,63.6,9.3,34
6,44.3,11.2,34
6,74.7,5.3,34
6,80.2,11.8,36
6,80.4,5.7,36
6,39.5,10.3,36
6,82.4,8.7,37
6,68.4,6.9,37
6,68.6,9.2,37
6,13.5,6.5,38
6,34.2,5.1,38
6,32.0,5.8,38
6,50.9,6.6,39
6,37.9,3.6,41
6,56.0,8.9,41
6,44.2,14.2,43
6,80.1,8.0,48
7,59.6,6.0,15
7,5.5,6.3,17
7,30.3,13.3,17
7,24.9,6.6,18
7,41.0,9.7,19
7,24.8,7.8,19
7,37.9,18.2,19
7,14.8,14.5,19
7,42.1,6.5,22
7,48.1,12.2,23
7,36.0,6.2,23
7,46.0,4.6,23
7,23.8,9.3,25
7,37.1,14.6,25
7,56.7,5.6,25
7,73.2,10.1,26
7,34.2,6.2,27
7,70.0,8.8,27
7,41.5,11.4,27
7,26.7,10.5,27
7,50.3,12.2,28
7,75.7,9.1,28
7,59.4,7.3,28
7,80.2,7.4,28
7,47.2,10.5,29
7,40.2,9.5,29
7,78.4,5.7,30
7,59.9,5.7,30
7,64.1,9.0,32
7,79.4,5.1,32
7,39.9,10.1,32
7,66.1,10.7,33
7,75.7,6.8,33
7,36.3,18.8,33
7,60.9,7.5,33
7,40.4,8.0,34
7,74.2,8.9,34
7,31.9,12.6,34
7,67.4,5.2,35
7,40.4,7.7,35
7,40.5,9.1,36
7,60.3,8.3,36
7,70.9,6.2,37
7,72.0,11.8,37
7,69.7,6.8,38
7,39.4,8.9,38
7,66.1,8.2,38
7,81.5,10.1,41
7,54.3,10.7,42
7,75.1,7.6,44
7,71.6,9.3,46
7,58.8,4.9,50
